algo,no,precision,dm,cm,entropy,discern,ilm,acc
mondrian,80,0.4118056771346245,0.595,0.2541891891891892,0.8198427144246699,0.0005253104455807158,0.04614512802275952,0.4945945945945946
datafly,81,0.04166103603603588,0.085,0.3595945945945946,0.9590278668864842,0.2411463842220599,0.045974822190611664,0.5054054054054054
datafly_shuffled,81,0.03333333333333344,0.07,0.4243243243243243,0.9601747158791614,0.2789034696859021,0.048310988620199176,0.5054054054054054
mondrian,81,0.4180765309844256,0.655,0.2671621621621621,0.8212001579794225,0.0005196493791088387,0.046822137268847916,0.4945945945945946
datafly,82,0.033328828828828934,0.08,0.3798648648648649,0.9588081758617326,0.2275356099342586,0.04587864509246088,0.5
datafly_shuffled,82,0.04171171171171162,0.0925,0.3740540540540541,0.9424309547801176,0.11746709276844412,0.04808840682788052,0.5560810810810811
mondrian,82,0.4347818689134477,0.645,0.20270270270270271,0.8098094728360428,0.00033283418553688816,0.04656614509246089,0.4945945945945946
datafly,83,0.016666666666666833,0.0275,0.3698648648648649,0.9733655494518764,0.3558545288531775,0.04780897937411095,0.6168918918918919
datafly_shuffled,83,0.06026689189189194,0.0575,0.3948648648648649,0.9330610690005752,0.06966957633308984,0.047719790184921784,0.5560810810810811
mondrian,83,0.4335559871612503,0.6575,0.23675675675675675,0.8087140460046072,0.00033436815193571947,0.04567327524893315,0.4945945945945946
datafly,84,0.03332882882882915,0.0875,0.3232432432432432,0.9543723334631966,0.2068697954711468,0.045790878378378384,0.5054054054054054
datafly_shuffled,84,0.041983108108108125,0.0875,0.3433783783783784,0.9556548518470456,0.21529948867786705,0.04821984352773828,0.5054054054054054
mondrian,84,0.4303426888426891,0.65,0.2122972972972973,0.8065568733705578,0.00033601168736303866,0.0460805120910384,0.4945945945945946
datafly,85,0.025347972972972976,0.0375,0.4318918918918919,0.9890557602996451,0.7706354638422206,0.04828598862019914,0.5054054054054054
datafly_shuffled,85,0.04182432432432437,0.0875,0.4110810810810811,0.9537567962859248,0.16250573411249086,0.0486937588904694,0.5054054054054054
